scope,quantity,value,unit,note,status
all,transit_assumed,1.4096079,MHz,"PINNED, not fitted: fit_beta_self runs with fit_transit=False at this transit, which is transit_fwhm_from_w0 at the adopted waist. Every gamma_l in this file is conditional on it, so these widths are not an independent constraint on the waist and a fit that holds them fixed while profiling the transit is circular",DIAGNOSTIC
all,waist_assumed_um,42.4,um,"the waist the pinned transit corresponds to, carried here so the conditioning travels with the widths",DIAGNOSTIC
4121,n_conditions,4,count,rungs of the density ladder this peak contributes,DIAGNOSTIC
4121,gamma_l_equiv,0.075338,MHz,"Gamma_L,equiv: a Lorentzian-EQUIVALENT width. Not f_L, not attributed to the laser by this fit, and CONDITIONAL on the pinned transit in the all/transit_assumed row",DIAGNOSTIC
4121,gamma_l_equiv_err,0.048348,MHz,one-sigma from the covariance -- OVER-covering by K2 world B's measured 0.7460 against a nominal 0.68,DIAGNOSTIC
4121,delta_chi2_G_minus_GL,11.5785,chi2,"G is nested inside G+L (gamma_l -> 0), one parameter at its boundary",DIAGNOSTIC
4121,p_boundary,3.336e-04,p-value,"half the naive one-dof tail, because the null sits on the boundary",DIAGNOSTIC
4121,beta_self_G,0.006248,MHz per density unit,beta_self with the kernel pinned Gaussian,DIAGNOSTIC
4121,beta_self_GL,0.003845,MHz per density unit,beta_self with the mixed kernel free,DIAGNOSTIC
4121,beta_self_err_GL,0.001413,MHz per density unit,U_statistical for this peak,DIAGNOSTIC
4154,n_conditions,4,count,rungs of the density ladder this peak contributes,DIAGNOSTIC
4154,gamma_l_equiv,0.044614,MHz,"Gamma_L,equiv: a Lorentzian-EQUIVALENT width. Not f_L, not attributed to the laser by this fit, and CONDITIONAL on the pinned transit in the all/transit_assumed row",DIAGNOSTIC
4154,gamma_l_equiv_err,0.043519,MHz,one-sigma from the covariance -- OVER-covering by K2 world B's measured 0.7460 against a nominal 0.68,DIAGNOSTIC
4154,delta_chi2_G_minus_GL,6.8797,chi2,"G is nested inside G+L (gamma_l -> 0), one parameter at its boundary",DIAGNOSTIC
4154,p_boundary,4.359e-03,p-value,"half the naive one-dof tail, because the null sits on the boundary",DIAGNOSTIC
4154,beta_self_G,0.005870,MHz per density unit,beta_self with the kernel pinned Gaussian,DIAGNOSTIC
4154,beta_self_GL,0.004742,MHz per density unit,beta_self with the mixed kernel free,DIAGNOSTIC
4154,beta_self_err_GL,0.001235,MHz per density unit,U_statistical for this peak,DIAGNOSTIC
4192,n_conditions,4,count,rungs of the density ladder this peak contributes,DIAGNOSTIC
4192,gamma_l_equiv,0.115407,MHz,"Gamma_L,equiv: a Lorentzian-EQUIVALENT width. Not f_L, not attributed to the laser by this fit, and CONDITIONAL on the pinned transit in the all/transit_assumed row",DIAGNOSTIC
4192,gamma_l_equiv_err,0.025901,MHz,one-sigma from the covariance -- OVER-covering by K2 world B's measured 0.7460 against a nominal 0.68,DIAGNOSTIC
4192,delta_chi2_G_minus_GL,65.2069,chi2,"G is nested inside G+L (gamma_l -> 0), one parameter at its boundary",DIAGNOSTIC
4192,p_boundary,3.372e-16,p-value,"half the naive one-dof tail, because the null sits on the boundary",DIAGNOSTIC
4192,beta_self_G,0.004253,MHz per density unit,beta_self with the kernel pinned Gaussian,DIAGNOSTIC
