file,role,flag,peak,temperature_C,power_mW,rf_on,bracket,repeat_idx,baseline_v,base_slope_vps,sigma_wing_v,height_v,snr,peak_pos_ms,window_start_ms,fwhm_ms,edge_margin_ms,n_half_regions,n_major,z_spike,z_step,lf_ratio,slope_frac,clip_run,comb_score,comb_period_ms,n_valid,empty_interior,axis_rebuilt,header_variant,hard_flags,zsib_height_v,zsib_fwhm_ms,zsib_sigma_wing_v
p_sweep/4121nm_125mw1.csv,p_sweep,canonical,4121,130,125,False,,1,0.002999933333333333,-0.000411600393069055,0.003216148112996296,0.33194255714285714,103.21121586455972,37.5,-464.0,64.5,467.0,1.0,1.0,3.7942857957670406,2.5336286288340517,1.019564902769511,0.0012393547739510539,1.0,0.01781832332626024,110.0,2000.0,0.0,0.0,,,-0.4403216310210894,0.9881422924901185,2.697963037906421
p_sweep/4121nm_125mw2.csv,p_sweep,canonical,4121,130,125,False,,2,0.0030552,0.0004724563322615758,0.0030423306030103827,0.3477042380952381,114.2887751091828,37.0,-464.0,62.5,468.0,1.0,1.0,5.2712211086398515,2.6850664561890554,1.1020644241914737,0.001358108565723324,1.0,0.012813727872194883,110.0,2000.0,0.0,0.0,,,2.037350043227808,-1.171875,-0.33724537973829255
p_sweep/4121nm_125mw3.csv,p_sweep,canonical,4121,130,125,False,,3,0.0029683523809523812,0.00041284393581137547,0.0028685130930244693,0.3318793904761904,115.69735947283661,36.5,-464.0,65.5,464.0,1.0,1.0,4.010094613512888,3.0373282960480354,1.068294036262741,0.001243335758967754,1.0,0.01619978427027716,110.0,2000.0,0.0,0.0,,,-0.4501955555779928,1.7786561264822132,-3.372453797383016
p_sweep/4121nm_125mw4.csv,p_sweep,canonical,4121,130,125,False,,4,0.0029209690476190474,0.00037999908296088903,0.003129239358003338,0.3182182309523809,101.69187925446047,39.5,-464.0,63.0,466.5,1.0,1.0,4.450250847879544,3.5899167164073957,1.0046744727091836,0.0011935491008252268,1.0,0.017214306972302692,110.0,2000.0,0.0,0.0,,,-2.4408710179986595,-0.6744907594765952,0.6744907594765851
p_sweep/4121nm_125mw5.csv,p_sweep,canonical,4121,130,125,False,,5,0.003041390476190476,0.0007297974374273739,0.0030423306030103827,0.3423365142857143,112.52442911594575,39.5,-464.0,63.5,464.5,1.0,1.0,4.913247003163085,2.499695250910741,1.0104926133137262,0.0021307471107212222,1.0,0.013377365588140061,110.0,2000.0,0.0,0.0,,,1.0247396653424665,-0.1686226898691488,-0.33724537973829255
p_sweep/4121nm_175mw1.csv,p_sweep,canonical,4121,130,175,False,,1,0.006957790476190476,0.0009415282409320865,0.004130210157367334,0.5910485666666666,143.10375117652873,37.0,-468.0,61.5,460.5,1.0,1.0,4.7996886020221075,1.95364953162931,0.9312723562872904,0.0015913865048278117,1.0,0.015508208391198026,110.0,1999.0,0.0,0.0,,,-1.226627908799818,-1.3833992094861658,-1.0500213124037184e-14
p_sweep/4121nm_175mw2.csv,p_sweep,canonical,4121,130,175,False,,2,0.007121933333333334,0.0010424059198415022,0.0036139994099785295,0.5731792333333333,158.59970307431195,40.5,-468.0,64.0,460.5,1.0,1.0,5.62645036562207,3.402736682001028,1.07157788606596,0.0018168200335270243,1.0,0.015275725771310807,110.0,1999.0,0.0,0.0,,,-2.4067919077952364,1.2,-6.249206792395362
p_sweep/4121nm_175mw3.csv,p_sweep,canonical,4121,130,175,False,,3,0.007520599999999999,0.0009378098156955352,0.004130210157367334,0.6170083666666666,149.38909720273367,42.5,-468.0,64.0,458.5,1.0,1.0,5.050713972061641,3.885838380470037,1.0632715131723947,0.0015184105378363152,1.0,0.0170920935572686,110.0,1999.0,0.0,0.0,,,0.9455943912285061,1.2,-1.0500213124037184e-14
p_sweep/4121nm_175mw4.csv,p_sweep,canonical,4121,130,175,False,,4,0.0072391952380952375,0.001121642936424069,0.004130210157367335,0.6022344904761905,145.8120694904457,38.5,-468.0,62.5,461.0,1.0,1.0,4.3561916769361915,2.5346169054171965,1.0099183559762732,0.0018606063106774936,1.0,0.016765896530436714,110.0,1999.0,0.0,0.0,,,-0.07655597207016755,-0.592885375494071,1.0500213124037187e-14
p_sweep/4121nm_175mw5.csv,p_sweep,canonical,4121,130,175,False,,5,0.0072391904761904755,0.000631044810692033,0.004130210157367335,0.622659957142857,150.75745141737556,41.0,-468.0,62.5,458.5,1.0,1.0,4.3967891162196535,2.650191973127483,1.0948981856527213,0.0010124527178109592,1.0,0.014988318828101619,110.0,1999.0,0.0,0.0,,,1.3520281086549457,-0.592885375494071,1.0500213124037187e-14
