role,peak,amplitude,amplitude_err,centre_err,centre_mhz,chi2_red,corr_marginal,gamma_coll,gamma_coll_err,gamma_coll_err_marginal,note,power_mW,sigma_laser,sigma_laser_err,sigma_laser_err_marginal,temperature_C,status
p_sweep,4121,2.5900970515972186,0.014557522216574028,0.014674634262393276,3.0889456712866656,0.9022917713485283,-0.806540620672139,0.34312448373555493,0.04210182993891293,0.07121676006448793,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",125,,,,130,DIAGNOSTIC
p_sweep,4121,2.5892642359109397,0.014558429657698184,0.01420751683756288,3.0390591967687763,0.8592014926157336,-0.8066055940157222,0.153425855481803,0.040817756458377784,0.06905505903673081,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",125,,,,130,DIAGNOSTIC
p_sweep,4121,2.5407571737889474,0.01434150027357472,0.01465921293407447,3.2503571172167236,0.8757751524390646,-0.802733992522032,0.2704391687626056,0.04179823772945087,0.07009160750099123,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",125,,,,130,DIAGNOSTIC
p_sweep,4121,2.4533976965588646,0.014365673639726462,0.014876094273667267,3.1822179303432523,1.0221770150799991,-0.8069591370081629,0.19567661219787916,0.04286651436703917,0.07258040378030174,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",125,,,,130,DIAGNOSTIC
p_sweep,4121,2.6020469969199223,0.014521660762988168,0.014280284155123424,3.308705612572125,0.9299814556524538,-0.8065013994750138,0.20040953568930453,0.04083355340089232,0.06906517382968322,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",125,,,,130,DIAGNOSTIC
p_sweep,4121,4.371070862085515,0.020359442118152774,0.011731146591166036,3.3661186703097252,0.858629750053702,-0.7509238155263207,0.19416402130249052,0.0338061929903447,0.05119134487987616,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",175,,,,130,DIAGNOSTIC
p_sweep,4121,4.351651912964325,0.02001403526231048,0.011931884363418077,3.2700802616625495,0.7957024063866313,-0.7492942244929433,0.2905945850639251,0.03393858554617616,0.051248379547904864,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",175,,,,130,DIAGNOSTIC
p_sweep,4121,4.748426266160012,0.020758164600776084,0.011333369598057101,3.439243238039554,0.875118780063575,-0.7479460416221121,0.2600353123466962,0.03216088555145882,0.04845261560805424,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",175,,,,130,DIAGNOSTIC
p_sweep,4121,4.477711939323889,0.020474721767926942,0.011605617670189795,3.3157555896288176,0.8739320109187176,-0.7529513707724707,0.2081550151120031,0.03332010080003969,0.050632590558732746,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",175,,,,130,DIAGNOSTIC
p_sweep,4121,4.6605162626792715,0.020796427323402363,0.011367015751605227,3.4656333309104688,0.9001171862349883,-0.7525915173271547,0.20782967241138198,0.0324751132450358,0.04931772431807088,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",175,,,,130,DIAGNOSTIC
p_sweep,4121,7.364185930715649,0.025788154132696244,0.008715891680957153,2.982155370314158,0.8985228924804189,-0.7272412652173583,0.17586143358573136,0.025230534593425495,0.03675874000032859,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",225,,,,130,DIAGNOSTIC
p_sweep,4121,7.403173242869983,0.025856666902799003,0.008767573270686552,2.887742143628584,0.9440227928986864,-0.7245511438964268,0.22573960409513544,0.02539408677760358,0.036844619302021264,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",225,,,,130,DIAGNOSTIC
p_sweep,4121,7.46533838337322,0.026136001355664948,0.008653586886921475,2.9431078241295445,0.9058610287701618,-0.7276038317346669,0.17498718529286625,0.025224732708135272,0.03677087771864976,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",225,,,,130,DIAGNOSTIC
p_sweep,4121,7.63556308229122,0.026044554510391074,0.008625955293671238,2.885891102672979,0.9008070853360892,-0.7229455344532161,0.23659044215109543,0.02485890586299457,0.03598020704253606,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",225,,,,130,DIAGNOSTIC
p_sweep,4121,7.5635710324303504,0.02596367180918631,0.00862029255862875,2.908543913707481,0.8458709903208643,-0.7224577299136201,0.1960633046280566,0.02484213827638341,0.03592941286456233,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",225,,,,130,DIAGNOSTIC
p_sweep,4121,0.1270487203283212,0.005607585819042226,0.10023666902544397,3.8385016896835524,0.9603747267816396,-0.6929402926989702,0.6539389158002794,0.3260531179882982,0.45222661780471024,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",25,,,,130,DIAGNOSTIC
p_sweep,4121,0.11323361702860542,0.005298607376057255,0.09470579316327327,3.791124849594687,0.9255194319294652,-0.7225745613763052,1.1769544817510506e-15,0.3133432178489823,0.45327121881387467,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",25,,,,130,DIAGNOSTIC
p_sweep,4121,0.12050290077617612,0.0053820962802652765,0.10017813092235502,3.7326288788890185,0.9699721968340944,-0.7008926074822841,0.4884654300402563,0.32392180217579397,0.4541383312421971,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",25,,,,130,DIAGNOSTIC
p_sweep,4121,0.11526417709772493,0.005838938950198647,0.0964036416870907,5.841049702058143,0.8826544302356049,-0.7201201815255786,0.09789581567452152,0.33569291508060617,0.4838123921325499,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",25,,,,130,DIAGNOSTIC
p_sweep,4121,0.11641749184658644,0.005082462360105743,0.10586362654216015,5.255982187727597,1.0021229679779353,-0.6935908712057187,0.6794815812840196,0.32848370815357886,0.4559935846333546,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",25,,,,130,DIAGNOSTIC
p_sweep,4121,1.0095421690937456,0.010845542306512823,0.027141826745788543,3.387760931519119,0.8738908578933946,-0.8353987309981017,0.1640407232360389,0.07858540936723517,0.14297500379192882,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",75,,,,130,DIAGNOSTIC
p_sweep,4121,1.0394456928878772,0.01104025222699998,0.027822881857973575,3.354553696950967,0.8560721053300189,-0.833276782144638,0.4056512428191307,0.08083474941996137,0.14621301591238534,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",75,,,,130,DIAGNOSTIC
p_sweep,4121,1.0607624130923985,0.011121345139489818,0.026970501626391884,3.6430073840535595,0.822564788599466,-0.8329372575638037,0.2875216880983714,0.07815463145763041,0.1412346040642827,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",75,,,,130,DIAGNOSTIC
p_sweep,4121,1.0287680616777353,0.011033508400654075,0.026995862222687374,3.2749516152830505,0.8390894212068134,-0.8353353622223438,0.1796993720282589,0.07863197485604438,0.14303466244450105,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",75,,,,130,DIAGNOSTIC
p_sweep,4121,1.0549483036542293,0.011270456999394704,0.027154078440876875,3.56372366430265,0.9317187550309826,-0.836916730283321,0.2886825806873096,0.0794977778323276,0.14524645760836927,"one trace alone, the condition's pooled laser width pinned for the F36 per-parameter calibration",75,,,,130,DIAGNOSTIC
